dnsbl.inps.de,virbl.dnsbl.bit.nl,ix.dnsbl.manitu.net,dnsbl-1.uceprotect.net,db.wpbl.info,cbl.abuseat.org,spam.abuse.ch,dnsbl-3.uceprotect.net,dnsbl-2.uceprotect.net,xbl.spamhaus.org,bl.spamcop.net,dnsbl.sorbs.net,pbl.spamhaus.org,ip_address,zen.spamhaus.org,bl.spamcannibal.org
False,False,False,False,False,False,False,False,False,False,False,False,False,1.22.26.83,False,False
False,False,False,False,False,False,False,False,False,False,False,False,False,1.160.44.67,False,False
False,False,False,False,False,False,False,False,False,False,False,False,False,2.37.232.150,False,False
False,False,False,False,False,False,False,False,False,False,False,False,False,4.4.8.8,False,False
False,False,False,False,False,False,False,False,False,False,False,False,False,217.122.135.98,False,False
False,False,False,False,False,False,False,False,False,False,False,False,False,62.57.100.227,False,False
False,False,False,False,False,False,False,False,False,False,False,False,False,201.52.111.210,False,False
False,False,False,False,False,False,False,False,False,False,False,False,False,41.95.8.88,False,False
False,False,False,False,False,False,False,False,False,False,False,False,False,212.195.19.100,False,False
False,False,False,False,False,False,False,False,False,False,False,False,False,98.213.207.87,False,False
False,False,False,False,False,False,False,False,False,False,False,False,False,77.232.142.203,False,False
False,False,False,False,False,False,False,False,False,False,False,False,False,82.230.176.157,False,False
False,False,False,False,False,False,False,False,False,False,False,False,False,84.29.121.96,False,False
False,False,False,False,False,False,False,False,False,False,False,False,True,188.135.2.252,False,False
