bl.spamcop.net,cbl.abuseat.org,xbl.spamhaus.org,pbl.spamhaus1.org,pbl.spamhaus.org,ip_address
False,False,False,False,False,1.22.26.83
False,False,False,False,False,1.160.44.67
False,False,False,False,False,2.37.232.150
False,False,False,False,False,4.4.8.8
False,False,False,False,False,217.122.135.98
False,False,False,False,True,62.57.100.227
False,False,False,False,False,201.52.111.210
False,False,False,False,True,41.95.8.88
False,False,False,False,False,212.195.19.100
False,False,False,False,True,98.213.207.87
False,False,False,False,True,77.232.142.203
False,False,False,False,True,82.230.176.157
False,False,False,False,True,84.29.121.96
False,False,False,False,True,188.135.2.252
False,False,False,False,False,46.119.117.25
False,False,False,False,True,178.137.19.6
False,False,False,False,True,46.118.155.73
False,False,False,False,False,134.249.48.65
False,False,False,False,False,178.73.218.56
False,False,False,False,False,91.200.12.54
False,False,False,False,False,91.200.12.16
False,False,False,False,False,91.200.12.35
False,False,False,False,False,91.200.12.38
False,False,False,False,False,174.139.26.174
False,False,False,False,False,188.143.232.34
False,False,False,False,False,188.143.232.40
False,False,False,False,False,188.143.232.22
False,False,False,False,False,188.143.232.35
False,False,False,False,False,185.103.110.52
False,False,False,False,False,188.143.232.19
False,False,False,False,False,188.143.232.26
False,False,False,False,False,188.143.232.14
False,False,False,False,False,188.143.232.21
False,False,False,False,False,188.143.232.10
