domain,concept,datasourcename,updtdttm,first_observed_date,total_observations,city,pedigree,confidence_score,datauploadid,segment,netspeed,referential,coordinates,govdatevett,most_recent_observation_time,total_capabilities,insrtdttm,geo_longitude,countryabbrv,commvett,active_boolean,first_observed_time,date,ipaddress,geo_latitude,commdatevett,offenderclass,network_asn,ipaddress_int,govvett,country,isp,uuid,piplelineid,most_recent_observation_date,network_class,threat_score,cog,blranking,model,network_type
,,,,,,,,,,,,,,,,,,,VN,,,,,103.27.60.14,,,,,,,,,,,2013-07-01,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,108.174.112.194,,,,,,,,,,,2012-01-19,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,107.180.55.21,,,,,,,,,,,2014-02-11,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,HK,,,,,210.209.69.88,,,,,,,,,,,2004-12-15,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,CN,,,,,118.193.189.55,,,,,,,,,,,2007-10-19,,,,,,
,,,,,,,,,,,,,,,,,,,HK,,,,,43.248.10.173,,,,,,,,,,,2014-09-19,,,,,,
,,,,,,,,,,,,,,,,,,,US,,,,,98.124.243.48,,,,,,,,,,,2008-06-17,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,HK,,,,,5.127.204.172,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,CN,,,,,118.193.247.134,,,,,,,,,,,2007-10-19,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,HK,,,,,118.99.23.165,,,,,,,,,,,2009-10-23,,,,,,
,,,,,,,,,,,,,,,,,,,CN,,,,,118.193.237.182,,,,,,,,,,,2007-10-19,,,,,,
,,,,,,,,,,,,,,,,,,,CN,,,,,118.193.173.150,,,,,,,,,,,2007-10-19,,,,,,
,,,,,,,,,,,,,,,,,,,HK,,,,,03.197.157.249,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,GB,,,,,92.242.132.15,,,,,,,,,,,2007-12-27,,,,,,
,,,,,,,,,,,,,,,,,,,CN,,,,,118.193.172.4,,,,,,,,,,,2007-10-19,,,,,,
,,,,,,,,,,,,,,,,,,,CN,,,,,103.228.128.236,,,,,,,,,,,2014-03-27,,,,,,
