Malware_Types_List,Blacklist_Type_Text,Address_IP,Domain_Name
,,162.214.30.187,ewsxsw.com
,,,proteusnet.it
,,77.240.123.179,accesorios.nuestroservidor.es
,,109.237.140.6,ratgeber-beziehung.de
,,103.27.60.14,dongxinh.com
,,108.174.112.194,dustywinslow.com
,,107.180.55.21,iglesiaelrenacer.com
,,92.242.132.15,icloud-applecv.com
,,,icloud-drid.com
,,92.242.132.15,icloud-founded.com
,,92.242.132.15,icloud-iciod.com
,,210.209.69.88,icloud-icloudch.com
,,92.242.132.15,icloud-lccid.com
,,118.193.189.55,icloud-lostd.com
,,43.248.10.173,icloud-noop.com
,,98.124.243.48,icloud-securities.com
,,,icliunod.com
,,103.243.26.222,icloud-liccid.net
,,103.243.26.222,icloudlid.net
,,,apple-apis.com
,,45.127.204.172,apple-china-id.com
,,,apple-fido.com
,,,apple-findl.com
,,,apple-fiy.com
,,92.242.132.15,apple-fmi-service.com
,,,apple-fouy.com
,,92.242.132.15,apple-gye.com
,,92.242.132.15,apple-icloud-cane.com
,,,apple-icloud-idlost.com
,,,apple-icloud2016.com
,,92.242.132.15,apple-icloudid-nbp.com
,,43.240.13.70,apple-lcen.com
,,103.243.26.222,apple-licid.com
,,118.193.247.134,apple-locateds.com
,,92.242.132.15,apple-mirteal.com
,,,apple-ne-kefu.com
,,118.99.23.165,apple-notel.com
,,118.193.237.182,apple-ontrel.com
,,,apple-shouhou1.com
,,,apple-zo-shouhou.com
,,118.193.173.150,appleid-ios-ifind.com
,,103.197.157.249,appleid-iphone-gps.com
,,,appleld-a-zaixian.com
,,92.242.132.15,apple-icloud.org
,,118.193.172.4,applied-icloud.net
,,103.228.128.236,icl0uid.com
,,103.240.180.221,iclod-iponeid.com
,,103.55.26.168,icloud-applepld.com
,,,icloud-ito.com
,,45.127.98.128,icloud-leckup-id.com
,,103.240.182.10,icloud-leckup.com
,,118.193.172.91,icloud-wahd.com
,,,apple-appiled.com
,,103.239.73.199,apple-cn-appleid.com
,,27.126.180.226,apple-du.com
,,122.10.87.180,apple-iciluod.com
,,92.242.132.15,apple-iclod.com
,,122.10.87.180,apple-icloind.com
,,122.10.87.180,apple-icloiud.com
,,92.242.132.15,apple-iclonad.com
,,,apple-id-recovery.com
,,150.129.81.191,apple-id-support.com
,,103.243.26.222,apple-ilcid.com
,,92.242.132.15,apple-leckup-id.com
,,103.240.182.10,apple-leckup.com
,,103.243.26.222,apple-liccid.com
,,103.62.148.31,apple-myid-china.com
,,,apple-nz-kefu.com
,,118.193.189.56,apple-posit.com
,,118.193.189.56,apple-raisen.com
,,118.99.23.187,apple-retarl.com
,,92.242.132.15,apple-wahd.com
,,,apple-yam.com
,,,apple-zey.com
,,,apple110ios9.com
,,,applecld.com
,,92.242.132.15,apple-weth.com
,,192.210.199.209,brokenapple.net
,,50.63.202.19,brokentogether.net
,,207.148.248.143,buildingcontrol.net
,,207.148.248.143,buildingtogether.net
,,,dkuqcuoampdkdrhr7.com
,,46.30.212.13,doctorapple.net
,,75.126.211.188,doubleapple.net
,,,egiimdnxmse5g.com
,,50.63.202.24,familyfence.net
,,98.143.148.173,gitybdjgbxd.nl
,,,granybgberyqxgdkp.com
,,,kqqpygacciuzvub.com
,,,oimnobkbrpisoiqmec.com
,,209.135.214.28,pointcross.net
,,184.168.221.8,pointrise.net
,,50.63.202.55,preparecontrol.net
,,,sqokypaifilwzpmr.com
,,77.94.249.13,storecontrol.net
,,184.168.47.225,strengthbuilt.net
,,98.143.148.173,swcopf.nl
,,,usziqduihhgwnfhoh.com
,,61.19.246.46,wellfloor.net
,,61.129.33.149,wellfruit.net
,,72.52.4.90,westcross.net
,,212.227.213.125,westfloor.net
,,23.236.62.147,westrise.net
,,77.240.123.180,nuestroservidor.es
,,87.236.19.11,12yards.ru
,,178.238.137.166,1bodyfitness.co.uk
,,,1mfa89h.cf
,,192.185.108.212,247fingers.com
,,162.144.35.222,36or9.com
,,195.20.55.112,3ppll.ml
,,,4eternity.tk
,,89.161.243.24,4went.pl
,,192.185.108.212,86400foundation.com
,,67.222.12.107,98405.com
,,67.222.12.107,98406.com
,,67.222.12.107,98407.com
,,108.175.157.44,9ggtf.ml
,,119.81.50.203,aadhat.com
,,72.167.183.17,aandgtrading.com
,,173.199.120.43,aarandia.com
,,5.77.63.52,aashay92.com
,,,account-inc-paypal.co.uk.nfldepot.com
,,69.162.73.226,acordemaior.com.br
,,192.185.144.207,acupofcappuccino.com
,,112.213.89.30,acvunico.vn
,,92.242.132.15,adrainghostinc.org
,,198.15.115.235,advancesecurity.in
,,67.225.140.60,aerukl.com
,,5.77.63.52,agapechurchindia.org
,,192.250.225.49,agentcts.com
,,131.100.50.4,agnfrios.com.br
,,37.60.255.97,agogfinancials.com
,,92.242.132.15,agsigns.com.au
,,192.186.250.8,aiddp.org
,,192.185.108.212,airpoweregypt.com
,,192.185.77.116,ajayclothing.com.au
,,199.116.248.176,alexamobi.com
,,64.92.125.39,alfayha-ls.com
,,192.185.216.121,aliexpressofertas.com.br
,,,alijamalifard.ir
,,162.144.77.64,allaboutnaijaweddings.com.ng
,,162.144.35.222,allenrefractories.com
,,78.129.155.106,allenupholstery.co.uk
,,107.180.50.169,allflagsauto.com
,,79.172.211.3,alpinbike.hu
,,178.63.48.9,alsadiqterminal.com
,,216.172.172.182,amaisgastronomia.com.br
,,92.242.132.15,amazon-authentication-account-awd45238745664.eglsnvocc.com
,,131.100.50.4,aminstalacoes.net
,,131.100.50.4,amohotdog.com
,,67.225.140.60,amutechno.com
,,192.185.216.124,anced.org.br
,,95.142.152.194,anchorgyms.co.uk
,,131.100.50.4,anglicanadr.com.br
,,192.185.216.126,annaderoissy.com
,,176.32.230.26,anz-com-makqu.westhavenvillaflorida.com
,,92.242.132.15,aol.secure.ricomotorsl.com
,,217.160.197.65,apdcatoledo.com
,,208.86.253.147,apm9995.com
,,,appleid.apple.net.cgi-key.confirm.eu.web.cmd.myapple.webscmd.apple.user9.img-gb0.com
,,199.217.115.188,appleidverification.com.hdmombaca.com.br
,,160.153.162.17,apple-it.account.store.apple.com-apple-support-settings.attzedi.com
,,173.195.176.54,appraisalshome.com
,,192.185.108.212,arad-turistic.ro
,,94.141.21.135,arasarredamenti.it
,,62.149.128.166,argenti109.it
,,192.99.210.152,aries.com.uy
,,67.222.12.107,arkansasjoe.com
,,,aromaesence.cz
,,67.222.3.111,arsseguridad.com
,,192.185.216.123,arteambientecortinas.com.br
,,23.229.151.192,arte-cuadros.com.ar
,,192.185.108.212,arturosimports.com
,,192.185.108.212,atlanticwestmanagement.com
,,157.7.107.42,atmiracle.com
,,192.185.108.212,autisminvolved.com
,,50.28.9.112,autoauctionbidder.com
,,50.63.147.89,autosurlenet.com
,,50.116.112.159,avantlog.com.br
,,5.134.116.71,awred.com
,,63.247.87.242,axisedu.com.np
,,203.124.119.1,ayanamtours.com
